id,date,market,commodities,price
0,2020-14-50,Nakasero,MAIZE,1339
1,2020-02-14,,BEANS,-2000
2,2020-11-04,Mukono,MAIZE,4964
3,2020-05-22,Mukono,MAIZE,3287
4,2021-01-25,Nakasero,Maize,1292
5,2020-05-15,Mukono,BEANS,3600
6,2020-11-17,,Beans,1069
7,2020-05-28,Mukono,MAIZE,3613
8,2020-07-05,Bwaise,Beans,2687
9,2020-02-06,,MAIZE,2505
10,2021-04-18,,MAIZE,958
11,2020-06-10,Kansanga,Beans,3077
12,2021-03-28,Kansanga,MAIZE,2520
13,2021-01-17,,BEANS,3771
14,2020-03-11,,BEANS,885
15,2020-03-22,Kansanga,Maize,4334
16,2021-03-16,Mukono,Maize,4898
17,2020-06-23,Mukono,Beans,4216
17,2021-01-03,Nakasero,MAIZE,1371
19,2020-11-23,,MAIZE,1823
20,2020-09-28,Mukono,Beans,1416
21,2021-03-01,Nakasero,MAIZE,1145
22,2020-02-05,,MAIZE,4393
23,2020-09-27,,BEANS,4917
24,2020-12-31,Nakasero,BEANS,3559
25,2020-03-02,Bwaise,MAIZE,672
26,2020-04-22,Mukono,Maize,982
27,2021-03-16,Nakasero,Maize,2781
28,2020-03-08,,BEANS,4374
29,2020-02-19,Kansanga,Beans,4325
30,2020-11-30,Mukono,Maize,3279
31,2020-04-08,Bwaise,BEANS,2003
32,2021-04-17,Mukono,BEANS,1302
33,2021-03-04,Mukono,Maize,2436
34,2020-04-19,Kansanga,Maize,517
35,2021-02-05,Kansanga,Beans,4486
36,2021-05-10,Mukono,Maize,968
37,2021-04-15,,MAIZE,4660
38,2020-10-31,Mukono,MAIZE,2516
39,2020-02-11,Kansanga,Beans,2173
40,2020-05-15,Kansanga,MAIZE,2957
41,2021-04-24,Mukono,Maize,1319
42,2020-05-15,Bwaise,Beans,2501
43,2021-03-02,,Beans,4833
43,2020-06-02,Mukono,MAIZE,1376
45,2020-05-24,,MAIZE,2167
46,2020-09-15,Kansanga,Beans,916
47,2020-05-21,Mukono,Maize,1571
48,2021-01-14,Kansanga,BEANS,1416
49,2021-04-07,Bwaise,Maize,1713
50,2020-07-05,Mukono,Beans,2544
51,2020-10-13,Kansanga,MAIZE,2439
52,2021-02-19,Bwaise,BEANS,-2000
53,2021-04-21,Kansanga,MAIZE,1385
54,2020-08-28,Bwaise,MAIZE,4270
55,2021-03-22,Bwaise,MAIZE,-2000
56,2021-03-18,Mukono,Beans,4673
57,2020-10-01,Nakasero,Maize,2639
58,2020-05-15,Mukono,Maize,3331
59,2020-11-06,,Maize,2057
60,2020-01-01,,MAIZE,1073
61,2020-11-15,Nakasero,Maize,2960
62,2020-06-16,Kansanga,Beans,2071
63,2020-12-12,Bwaise,Beans,503
64,2021-02-06,,Beans,4122
65,2021-02-10,Bwaise,Maize,3245
66,2020-04-30,Nakasero,MAIZE,1707
67,2020-08-31,,Maize,2092
68,2020-07-23,Bwaise,MAIZE,545
69,2021-03-29,Mukono,BEANS,4743
70,2021-04-14,Mukono,BEANS,4306
71,2020-10-31,Nakasero,BEANS,4635
72,2020-08-16,Bwaise,BEANS,2525
73,2021-02-02,,BEANS,2749
74,2020-04-30,Nakasero,Beans,4924
75,2020-07-15,Bwaise,MAIZE,3839
76,2020-02-01,Bwaise,BEANS,660
77,2020-07-13,Kansanga,Maize,2946
78,2021-05-03,Kansanga,MAIZE,2735
79,2020-14-50,Nakasero,BEANS,4328
80,2020-09-30,Mukono,BEANS,722
81,2021-03-19,Kansanga,MAIZE,3605
82,2020-06-21,Kansanga,Beans,3953
83,2020-01-10,,Maize,3366
84,2021-05-05,Mukono,Maize,2133
85,2020-05-02,Bwaise,BEANS,2285
86,2020-07-07,Bwaise,Maize,1841
87,2020-01-14,Nakasero,BEANS,2124
88,2020-11-17,Bwaise,Maize,2970
89,2020-03-02,,Maize,4009
90,2020-11-27,Nakasero,Maize,4515
91,2020-11-21,Kansanga,MAIZE,4774
92,2021-02-17,,BEANS,2698
93,2021-04-23,Mukono,Beans,2497
94,2020-12-08,Kansanga,Beans,-2000
95,2020-04-18,Nakasero,Beans,2763
96,2020-04-07,Mukono,MAIZE,4502
97,2020-08-31,Kansanga,BEANS,1262
98,2020-05-04,Nakasero,Beans,4849
99,2020-10-08,Nakasero,Beans,2719
100,2021-01-04,Bwaise,Beans,4889
101,2020-04-08,Bwaise,BEANS,4797
102,2021-03-02,Bwaise,Beans,1969
103,2020-03-05,Nakasero,Maize,2893
104,2021-03-20,Kansanga,Maize,2829
105,2020-04-04,Mukono,Beans,4413
106,2020-09-08,Mukono,Maize,2989
107,2020-10-12,Kansanga,MAIZE,3616
108,2021-03-16,,BEANS,993
109,2021-04-30,Bwaise,MAIZE,1165
110,2020-02-08,Bwaise,Maize,4349
111,2020-12-27,Nakasero,BEANS,2412
112,2020-11-16,,MAIZE,4961
113,2020-05-16,Bwaise,Maize,3019
114,2021-04-16,Nakasero,BEANS,2991
115,2020-09-13,,BEANS,826
116,2020-11-05,Nakasero,Maize,669
117,2020-05-17,,Maize,1935
118,2021-04-14,Nakasero,MAIZE,4070
119,2020-02-16,Kansanga,Beans,3130
120,2020-06-17,Kansanga,BEANS,3780
121,2020-08-20,Mukono,Beans,1449
122,2020-09-20,Mukono,BEANS,2036
123,2020-09-12,Kansanga,Maize,4999
124,2021-03-26,Kansanga,Maize,-2000
125,2020-12-29,Bwaise,Beans,3842
126,2021-04-12,Mukono,BEANS,1761
127,2020-09-17,Nakasero,BEANS,4368
128,2020-07-15,Bwaise,MAIZE,2763
129,2020-06-23,,Beans,2817
130,2020-10-23,Kansanga,MAIZE,4467
131,2020-10-05,Kansanga,BEANS,2045
132,2020-07-15,Bwaise,BEANS,-2000
133,2021-02-19,Kansanga,BEANS,1746
134,2020-09-14,,Beans,4106
